iter	Passed	Remaining
174	1260	5942
175	1264	5918
176	1267	5893
177	1270	5866
178	1273	5841
179	1278	5824
180	1281	5800
181	1284	5773
182	1287	5747
183	1291	5729
184	1294	5704
185	1298	5681
186	1300	5656
187	1304	5634
188	1309	5618
189	1312	5594
190	1315	5572
191	1319	5551
192	1323	5535
193	1327	5514
194	1330	5490
195	1333	5470
196	1338	5454
197	1341	5433
198	1344	5412
199	1346	5387
200	1350	5368
201	1354	5352
202	1358	5333
203	1362	5314
204	1364	5290
205	1370	5282
206	1376	5274
207	1380	5254
208	1384	5238
209	1391	5233
210	1395	5219
211	1401	5207
212	1407	5201
213	1412	5189
214	1419	5181
215	1422	5164
216	1426	5146
217	1429	5128
218	1436	5122
219	1438	5100
220	1441	5082
221	1444	5063
222	1451	5058
223	1455	5041
224	1458	5024
225	1463	5013
226	1469	5004
227	1474	4991
228	1478	4978
229	1485	4972
230	1489	4960
231	1495	4949
232	1501	4942
233	1506	4930
234	1517	4940
235	1523	4931
236	1530	4926
237	1533	4908
238	1534	4887
239	1537	4869
240	1543	4860
241	1548	4848
242	1551	4832
243	1553	4813
244	1558	4802
245	1563	4792
246	1571	4789
247	1582	4798
248	1586	4783
249	1593	4779
250	1599	4773
251	1606	4767
252	1617	4774
253	1630	4790
254	1637	4785
255	1645	4780
256	1655	4787
257	1659	4774
258	1666	4766
259	1680	4783
260	1694	4797
261	1704	4800
262	1720	4821
263	1727	4814
264	1743	4835
265	1753	4838
266	1761	4837
267	1772	4842
268	1791	4868
269	1817	4912
270	1824	4907
271	1833	4907
272	1839	4898
273	1850	4903
274	1861	4906
275	1868	4901
276	1878	4903
277	1888	4904
278	1899	4909
279	1914	4922
280	1931	4941
281	1945	4953
282	1954	4952
283	1963	4950
284	1975	4956
285	1982	4950
286	1993	4952
287	2008	4965
288	2019	4967
289	2026	4961
290	2034	4955
291	2040	4947
292	2053	4955
293	2060	4948
294	2068	4943
295	2074	4934
296	2090	4947
297	2103	4954
298	2115	4959
299	2124	4957
300	2134	4956
301	2145	4959
302	2157	4962
303	2167	4962
304	2181	4970
305	2191	4971
306	2200	4966
307	2213	4973
308	2223	4972
309	2238	4982
310	2248	4981
311	2258	4980
312	2274	4991
313	2299	5023
314	2308	5020
315	2324	5031
316	2336	5034
317	2354	5048
318	2365	5050
319	2380	5057
320	2397	5071
321	2405	5065
322	2419	5071
323	2443	5097
324	2457	5103
325	2467	5101
326	2479	5102
327	2484	5091
328	2496	5091
329	2504	5084
330	2515	5083
331	2526	5084
332	2540	5088
333	2547	5080
334	2559	5080
335	2568	5075
336	2577	5070
337	2587	5068
338	2595	5061
339	2603	5054
340	2613	5050
341	2622	5045
342	2633	5044
343	2639	5034
344	2650	5031
345	2657	5022
346	2666	5017
347	2672	5007
348	2678	4996
349	2688	4992
350	2703	4998
351	2719	5006
352	2730	5004
353	2738	4997
354	2750	4996
355	2763	4998
356	2768	4987
357	2779	4985
358	2783	4970
359	2791	4962
360	2798	4953
361	2804	4942
362	2812	4935
363	2818	4924
364	2826	4916
365	2829	4901
366	2833	4886
367	2842	4881
368	2846	4867
369	2852	4856
370	2858	4846
371	2862	4832
372	2870	4825
373	2876	4814
374	2880	4800
375	2888	4794
376	2894	4783
377	2900	4773
378	2906	4762
379	2911	4750
380	2919	4743
381	2925	4733
382	2931	4722
383	2936	4711
384	2941	4699
385	2946	4687
386	2954	4679
387	2958	4665
388	2965	4658
389	2971	4648
390	2975	4634
391	2984	4629
392	2988	4615
393	2996	4609
394	3002	4599
395	3011	4592
396	3018	4585
397	3027	4579
398	3035	4572
399	3044	4566
400	3051	4557
401	3062	4555
402	3066	4542
403	3077	4539
404	3082	4528
405	3090	4521
406	3098	4514
407	3111	4514
408	3122	4512
409	3131	4506
410	3140	4501
411	3148	4493
412	3157	4487
